Order,PID,MS SubClass,MS Zoning,Lot Frontage,Lot Area,Street,Alley,Lot Shape,Land Contour,Utilities,Lot Config,Land Slope,Neighborhood,Condition 1,Condition 2,Bldg Type,House Style,Overall Qual,Overall Cond,Year Built,Year Remod/Add,Roof Style,Roof Matl,Exterior 1st,Exterior 2nd,Mas Vnr Type,Mas Vnr Area,Exter Qual,Exter Cond,Foundation,Bsmt Qual,Bsmt Cond,Bsmt Exposure,BsmtFin Type 1,BsmtFin SF 1,BsmtFin Type 2,BsmtFin SF 2,Bsmt Unf SF,Total Bsmt SF,Heating,Heating QC,Central Air,Electrical,1st Flr SF,2nd Flr SF,Low Qual Fin SF,Gr Liv Area,Bsmt Full Bath,Bsmt Half Bath,Full Bath,Half Bath,Bedroom AbvGr,Kitchen AbvGr,Kitchen Qual,TotRms AbvGrd,Functional,Fireplaces,Fireplace Qu,Garage Type,Garage Yr Blt,Garage Finish,Garage Cars,Garage Area,Garage Qual,Garage Cond,Paved Drive,Wood Deck SF,Open Porch SF,Enclosed Porch,3Ssn Porch,Screen Porch,Pool Area,Pool QC,Fence,Misc Feature,Misc Val,Mo Sold,Yr Sold,Sale Type,Sale Condition,SalePrice
1,526301100,-1.1612617398535,RL,2.883103311531858,2.700352040545182,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,5,1960,1960,Hip,CompShg,BrkFace,Plywood,Stone,1.1525747167776927,TA,TA,CBlock,TA,Gd,Gd,BLQ,0.7388000974776575,Unf,-0.3689137607610984,441.0,0.12168866887964033,GasA,Fa,Y,SBrkr,1.2619078821365823,0,-0.11764705882352938,0.47023789889312645,1.0,-0.2520334722678233,1,0,3,-0.16559760788883857,TA,7,Typ,2,Gd,Attchd,1960.0,Fin,2.0,528.0,TA,TA,P,1.1097745690790897,0.8319877900587197,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,5,2010,WD ,Normal,215000
2,526350040,-1.1612617398535,RH,0.5415620024667336,0.5059773687530101,Pave,,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Feedr,Norm,1Fam,1Story,5,6,1961,1961,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,CBlock,TA,TA,No,Rec,0.5533190466686132,LwQ,2.7107973579904554,270.0,-0.3248376889672786,GasA,TA,Y,SBrkr,-0.6310279205708077,0,-0.11764705882352938,-1.4262732955109543,0.0,-0.2520334722678233,1,0,2,-0.16559760788883857,TA,5,Typ,0,,Attchd,1961.0,Unf,1.0,730.0,TA,TA,Y,0.9830482089279095,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,3.2318943902685704,-0.06675802219656336,,MnPrv,,-0.19087792627196232,6,2010,WD ,Normal,105000
3,526351010,-1.1612617398535,RL,0.5851886941874597,0.9305399116084593,Pave,,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,1958,1958,Hip,CompShg,Wd Sdng,Wd Sdng,BrkFace,1.1451361480027102,TA,TA,CBlock,TA,TA,No,ALQ,0.9754684848662445,Unf,-0.3689137607610984,406.0,0.6557086948764443,GasA,TA,Y,SBrkr,0.591985357525004,0,-0.11764705882352938,-0.20700039340557674,0.0,-0.2520334722678233,1,1,3,-0.16559760788883857,Gd,6,Typ,0,,Attchd,1958.0,Unf,1.0,312.0,TA,TA,Y,1.298313480920034,0.575843993734327,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,Gar2,5.238950464142403,6,2010,WD ,Normal,172000
4,526353030,-1.1612617398535,RL,1.0918131464603482,0.4233151304564508,Pave,,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,7,5,1968,1968,Hip,CompShg,BrkFace,BrkFace,,-0.8005598681826974,Gd,TA,CBlock,TA,TA,No,ALQ,1.073064014699647,Unf,-0.3689137607610984,1045.0,2.1940541423930178,GasA,Ex,Y,SBrkr,1.9895422672503447,0,-0.11764705882352938,1.2135592201433503,1.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Ex,8,Typ,2,TA,Attchd,1968.0,Fin,2.0,522.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,244000
5,527105010,0.4810564716684044,RL,0.274730336732763,0.8654001391288138,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,5,5,1997,1998,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,PConc,Gd,TA,No,GLQ,0.8737193924050891,Unf,-0.3689137607610984,137.0,-0.21908147413571932,GasA,Gd,Y,SBrkr,-0.5209925645200363,701,-0.11764705882352938,0.41970571526255107,0.0,-0.2520334722678233,2,1,3,-0.16559760788883857,TA,6,Typ,1,TA,Attchd,1997.0,Fin,2.0,482.0,TA,TA,Y,1.112692441070251,0.5492785855497734,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,MnPrv,,-0.19087792627196232,3,2010,WD ,Normal,189900
6,527105030,0.4810564716684044,RL,0.45360162501206924,0.19741292960917295,Pave,,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,6,6,1998,1998,Gable,CompShg,VinylSd,VinylSd,BrkFace,0.7158785862305129,TA,TA,PConc,TA,TA,No,GLQ,0.7022476766599345,Unf,-0.3689137607610984,324.0,-0.22365245178037532,GasA,Ex,Y,SBrkr,-0.5277511407295608,678,-0.11764705882352938,0.37215283268862787,0.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Gd,7,Typ,1,Gd,Attchd,1998.0,Fin,2.0,470.0,TA,TA,Y,1.2724609979208725,0.575843993734327,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,195500
7,527127150,1.3480369764281728,RL,-1.4018252090061507,-1.1561204506363985,Pave,,Reg,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,2001,2001,Gable,CompShg,CemntBd,CmentBd,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,Mn,GLQ,0.7162770338845427,Unf,-0.3689137607610984,722.0,0.6745252130344419,GasA,Ex,Y,SBrkr,0.6126715725768501,0,-0.11764705882352938,-0.1861888790278749,1.0,-0.2520334722678233,2,0,2,-0.16559760788883857,Gd,6,Typ,0,,Attchd,2001.0,Fin,2.0,582.0,TA,TA,Y,-0.9506828398842129,-1.0821534772425476,2.3245174056822018,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,4,2010,WD ,Normal,213500
8,527145080,1.3480369764281728,RL,-1.286676966160991,-1.1247747280017455,Pave,,IR1,HLS,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1992,1992,Gable,CompShg,HdBoard,HdBoard,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,No,ALQ,0.24307367934507051,Unf,-0.3689137607610984,1017.0,0.5527080783686482,GasA,Ex,Y,SBrkr,0.4766899732004562,0,-0.11764705882352938,-0.32287776472349666,0.0,-0.2520334722678233,2,0,2,-0.16559760788883857,Gd,5,Typ,0,,Attchd,1992.0,RFn,2.0,506.0,TA,TA,Y,-0.9506828398842129,0.9659081224189635,-0.4309900586356161,-0.11309063567309342,3.231921733557124,-0.06675802219656336,,,,-0.19087792627196232,1,2010,WD ,Normal,191500
9,527146030,1.3480369764281728,RL,-1.5193777564269058,-0.9886966248090007,Pave,,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,1995,1996,Gable,CompShg,CemntBd,CmentBd,,-0.8005598681826974,Gd,TA,PConc,Gd,TA,No,GLQ,1.1449785408210071,Unf,-0.3689137607610984,415.0,1.1996752421186454,GasA,Ex,Y,SBrkr,1.1878823993170877,0,-0.11764705882352938,0.39507139544564895,1.0,-0.2520334722678233,2,0,2,-0.16559760788883857,Gd,5,Typ,1,TA,Attchd,1995.0,RFn,2.0,608.0,TA,TA,Y,1.1468546410063172,1.266010738113877,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,3,2010,WD ,Normal,236500
10,527162130,0.4810564716684044,RL,-0.3866826538075703,-0.3640316980169106,Pave,,Reg,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,2Story,7,5,1999,1999,Gable,CompShg,VinylSd,VinylSd,,-0.8005598681826974,TA,TA,PConc,TA,TA,No,Unf,-1.3556223614686533,Unf,-0.3689137607610984,994.0,-0.06955519138968708,GasA,Gd,Y,SBrkr,-0.20140693776861482,776,-0.11764705882352938,0.7331723525379927,0.0,-0.2520334722678233,2,1,3,-0.16559760788883857,Gd,7,Typ,1,TA,Attchd,1999.0,Fin,2.0,442.0,TA,TA,Y,0.9830482089279095,0.8163725640361134,-0.4309900586356161,-0.11309063567309342,-0.30941351612162965,-0.06675802219656336,,,,-0.19087792627196232,6,2010,WD ,Normal,189000
